City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Kavieng,PG,2022-04-13 02:04:34,-2.5744,150.7967,85.08,69,7,9.82
145,Araripe,BR,2022-04-13 02:04:35,-7.2125,-40.0461,68.67,78,99,2.8
146,Port Lincoln,AU,2022-04-13 02:04:35,-34.7333,135.8667,69.24,60,65,14.9
147,Cherskiy,RU,2022-04-13 02:04:36,68.75,161.3,8.65,68,100,1.66
148,Atar,MR,2022-04-13 02:04:36,20.5169,-13.0499,76.66,18,43,9.6
149,Faanui,PF,2022-04-13 02:04:37,-16.4833,-151.75,82.31,72,13,11.61
150,Ilulissat,GL,2022-04-13 02:01:50,69.2167,-51.1,15.82,73,97,6.91
151,Lompoc,US,2022-04-13 02:04:37,34.6391,-120.4579,55.78,61,0,26.46
152,Barrow,US,2022-04-13 02:04:38,71.2906,-156.7887,3.22,66,0,9.22
153,Biak,ID,2022-04-13 02:04:38,-0.9131,122.8766,84.02,59,90,3.96
154,Iqaluit,CA,2022-04-13 02:04:39,63.7506,-68.5145,13.73,85,100,18.41
155,Kokopo,PG,2022-04-13 02:04:39,-4.352,152.2633,84.49,65,34,5.41
156,Porbandar,IN,2022-04-13 02:04:40,21.6422,69.6093,79.54,78,0,10.16
157,Filadelfia,US,2022-04-13 02:02:55,39.9523,-75.1638,63.81,64,0,3.44
158,Mar Del Plata,AR,2022-04-13 02:00:10,-38.0023,-57.5575,54.09,80,2,5.99
159,Luderitz,NA,2022-04-13 02:04:40,-26.6481,15.1594,61.3,76,2,3.96
160,Xining,CN,2022-04-13 02:00:12,36.6167,101.7667,42.48,43,16,5.23
161,Port Blair,IN,2022-04-13 02:04:41,11.6667,92.75,82.44,89,20,2.3
162,Namibe,AO,2022-04-13 02:04:42,-15.1961,12.1522,75.06,79,2,5.1
163,Kapiri Mposhi,ZM,2022-04-13 02:04:42,-13.9652,28.6809,58.87,95,1,4.65
164,Souillac,MU,2022-04-13 02:01:53,-20.5167,57.5167,76.95,83,95,19.06
165,Huanuco,PE,2022-04-13 02:04:43,-9.9329,-76.2415,63.27,93,42,2.35
166,Husavik,IS,2022-04-13 02:04:43,66.0449,-17.3389,28.53,84,72,8.59
167,La Asuncion,VE,2022-04-13 02:04:44,11.0333,-63.8628,77.47,84,26,19.37
168,Vagur,FO,2022-04-13 02:04:44,61.4732,-6.8119,42.93,89,100,19.95
169,Aklavik,CA,2022-04-13 02:04:24,68.2191,-135.0107,29.08,87,63,9.57
170,Saint Anthony,US,2022-04-13 02:04:45,45.0205,-93.218,50.9,78,100,21.85
171,Silanga,PH,2022-04-13 02:04:45,11.8181,124.8431,80.76,80,100,11.18
172,Qaanaaq,GL,2022-04-13 02:04:46,77.484,-69.3632,-1.14,100,100,2.39
173,Sokol,RU,2022-04-13 02:04:46,59.4617,40.1206,35.31,99,100,5.28
174,Vila Velha,BR,2022-04-13 02:01:25,-20.3297,-40.2925,76.95,91,82,4.9
175,Linxia,CN,2022-04-13 02:04:47,35.6003,103.2064,48.65,36,1,5.39
176,Deep River,CA,2022-04-13 02:04:47,46.1001,-77.4995,44.62,65,100,4.61
177,Kalabo,ZM,2022-04-13 02:04:48,-14.97,22.6814,67.6,83,100,5.06
178,Vanimo,PG,2022-04-13 02:04:48,-2.6741,141.3028,86.16,65,95,8.1
179,Bocas Del Toro,PA,2022-04-13 02:04:49,9.3333,-82.25,79.75,77,69,6.13
180,Shirokiy,RU,2022-04-13 02:05:49,49.758,129.523,36.66,51,17,9.73
181,Sterlitamak,RU,2022-04-13 02:05:49,53.6246,55.9502,41.34,87,100,4.32
182,Hamilton,US,2022-04-13 02:05:50,39.1834,-84.5333,67.59,83,75,11.5
183,Pevek,RU,2022-04-13 02:05:50,69.7008,170.3133,0.72,72,100,1.12
184,Baghdad,IQ,2022-04-13 02:05:51,33.3406,44.4009,55.31,47,0,4.61
185,Leningradskiy,RU,2022-04-13 02:05:51,69.3833,178.4167,2.28,83,58,13.78
186,Roald,NO,2022-04-13 02:05:52,62.5833,6.1333,42.75,80,75,5.75
187,General Artigas,PY,2022-04-13 02:05:52,-26.9333,-56.2167,67.95,87,96,4.21
188,Salym,RU,2022-04-13 02:05:53,60.0625,71.4789,32.31,92,100,3.76
189,La Ronge,CA,2022-04-13 02:05:53,55.1001,-105.2842,16.97,85,95,10.96
190,Krasnoselkup,RU,2022-04-13 02:05:54,65.7,82.4667,32.47,99,100,13.15
191,Touros,BR,2022-04-13 02:05:54,-5.1989,-35.4608,78.73,76,57,8.79
192,Sept-Iles,CA,2022-04-13 02:04:21,50.2001,-66.3821,33.06,96,100,0.0
193,Liverpool,GB,2022-04-13 02:01:32,53.4106,-2.9779,51.62,87,100,1.14
194,Zaysan,KZ,2022-04-13 02:05:55,47.4667,84.8667,48.42,26,0,3.13
195,Castro,BR,2022-04-13 02:01:18,-24.7911,-50.0119,63.48,97,100,3.56
196,Ambon,ID,2022-04-13 02:05:56,-3.6954,128.1814,80.74,89,40,2.3
197,Puerto Carreno,CO,2022-04-13 02:04:13,6.189,-67.4859,84.67,53,10,3.49
198,Les Cayes,HT,2022-04-13 02:05:56,18.2,-73.75,76.33,82,19,2.82
199,Robertsport,LR,2022-04-13 02:05:57,6.7533,-11.3686,77.31,88,100,11.14
200,Orange Cove,US,2022-04-13 02:05:57,36.6244,-119.3137,60.67,25,0,10.76
201,Port-Cartier,CA,2022-04-13 02:05:57,50.0334,-66.8654,32.76,99,100,2.66
202,Cidreira,BR,2022-04-13 02:05:58,-30.1811,-50.2056,70.05,91,41,8.3
203,Nioro,GM,2022-04-13 02:05:58,13.35,-15.75,75.16,51,95,6.08
204,Vila Franca Do Campo,PT,2022-04-13 02:05:59,37.7167,-25.4333,61.21,89,100,9.35
205,Lanxi,CN,2022-04-13 02:05:59,29.2195,119.477,68.76,79,100,7.43
206,Kodinsk,RU,2022-04-13 02:05:59,58.6881,99.1844,33.4,71,69,1.57
207,Saurimo,AO,2022-04-13 02:06:00,-9.6608,20.3916,63.97,92,81,4.41
