City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Nantucket,US,41.2835,-70.0995,55.45,67,0,8.05,clear sky
103,Atuona,PF,-9.8,-139.0333,78.89,75,7,12.71,clear sky
104,Dingle,PH,10.9995,122.6711,84.38,72,51,10.47,broken clouds
105,Tarbagatay,RU,51.4803,107.3602,38.48,62,99,5.06,overcast clouds
106,Tautira,PF,-17.7333,-149.15,78.87,78,64,15.32,light rain
107,Lorengau,PG,-2.0226,147.2712,84.04,75,88,6.69,overcast clouds
108,Ruidoso,US,33.3317,-105.673,72.97,12,0,40.29,clear sky
109,Kavieng,PG,-2.5744,150.7967,83.03,77,41,10.36,light rain
110,Lompoc,US,34.6391,-120.4579,62.69,70,0,20.71,clear sky
111,Pacific Grove,US,36.6177,-121.9166,63.39,72,20,10.36,few clouds
112,Salihorsk,BY,52.7876,27.5415,40.3,97,100,4.99,overcast clouds
113,Vila Velha,BR,-20.3297,-40.2925,78.75,77,0,0.0,clear sky
114,Lucapa,AO,-8.4192,20.7447,65.14,94,40,2.82,scattered clouds
115,Tasiilaq,GL,65.6145,-37.6368,33.96,93,100,3.62,overcast clouds
116,Goderich,CA,43.7501,-81.7165,41.92,78,100,5.77,overcast clouds
117,Dunedin,NZ,-45.8742,170.5036,61.02,46,4,7.18,clear sky
118,Yellowknife,CA,62.456,-114.3525,33.42,95,98,0.87,overcast clouds
119,Isangel,VU,-19.55,169.2667,82.06,60,11,10.38,few clouds
120,Kruisfontein,ZA,-34.0033,24.7314,57.88,81,100,2.64,overcast clouds
121,Nikolskoye,RU,59.7035,30.7861,40.8,81,90,4.14,overcast clouds
122,Ribeira Grande,PT,38.5167,-28.7,57.45,71,100,11.18,overcast clouds
123,Penzance,GB,50.1186,-5.5371,51.15,85,59,18.14,broken clouds
124,Esperance,AU,-33.8667,121.9,64.35,69,7,10.78,clear sky
125,Santa Isabel,BR,-23.3156,-46.2214,69.51,80,0,2.48,clear sky
126,Baghdad,IQ,33.3406,44.4009,62.51,25,0,5.75,clear sky
127,Norman Wells,CA,65.282,-126.8329,30.09,80,93,10.74,overcast clouds
128,Buraydah,SA,26.326,43.975,77.43,20,100,6.06,overcast clouds
129,Kamiiso,JP,41.8167,140.65,50.99,65,20,18.54,few clouds
